,intensidad,ocupacion,vmed,cong,anom,outlier
0,705,1,20,0,2,0
1,345,1,20,0,2,0
2,684,3,20,0,2,0
3,589,3,20,0,2,0
4,495,2,20,0,2,0
5,600,2,20,0,2,0
6,541,1,20,0,2,0
7,510,2,20,0,2,0
8,380,2,20,0,2,0
9,600,3,20,0,2,0
10,300,5,59,1,1,0
11,300,4,63,1,1,0
12,552,2,20,0,2,0
13,300,2,64,1,1,0
14,300,2,58,1,1,0
15,744,2,20,0,2,0
16,516,2,20,0,2,0
17,381,1,20,0,2,0
18,390,2,20,0,2,0
19,324,1,20,0,2,0
20,285,1,20,0,2,1
21,542,2,20,0,2,0
22,468,1,20,0,2,0
23,375,1,20,0,2,0
24,359,2,20,0,2,0
25,390,3,20,0,2,0
26,526,2,20,0,2,0
27,384,1,20,0,2,0
28,195,1,20,0,2,1
29,408,1,20,0,2,0
30,330,2,20,0,2,0
31,349,1,20,0,2,0
32,421,3,20,0,2,0
33,480,2,20,0,2,0
34,409,1,20,0,2,0
35,480,1,20,0,2,0
36,405,2,20,0,2,0
37,450,2,20,0,2,0
38,540,5,20,0,2,0
39,300,2,61,1,1,0
40,631,2,20,0,2,0
41,300,4,56,1,1,0
42,300,6,58,1,1,0
43,691,2,20,0,2,0
44,300,6,56,1,1,0
45,300,4,58,1,1,0
46,599,3,20,0,2,0
47,764,5,20,0,2,0
48,300,6,55,1,1,0
49,300,4,60,1,1,0
50,672,3,20,0,2,0
51,300,3,60,1,1,0
52,300,6,59,1,1,0
53,300,6,69,1,1,0
54,576,2,20,0,2,0
55,300,3,59,1,1,0
56,300,6,62,1,1,0
57,300,8,58,1,1,0
58,300,3,65,1,1,0
59,300,7,59,1,1,0
60,300,7,61,1,1,0
61,300,5,59,1,1,0
62,300,4,59,1,1,0
63,684,2,20,0,2,0
64,792,5,20,0,2,0
65,690,3,20,0,2,0
66,300,2,65,1,1,0
67,300,2,62,1,1,0
68,300,6,58,1,1,0
69,300,4,58,1,1,0
70,300,4,61,1,1,0
71,300,3,62,1,1,0
72,300,4,58,1,1,0
73,300,5,59,1,1,0
74,300,5,57,1,1,0
75,300,1,59,1,1,0
76,300,4,58,1,1,0
77,300,4,59,1,1,0
78,300,6,56,1,1,0
79,300,2,59,1,1,0
80,300,5,60,1,1,0
81,300,4,62,1,1,0
82,300,4,56,1,1,0
83,300,5,61,1,1,0
84,300,6,60,1,1,0
85,300,6,59,1,1,0
86,300,6,57,1,1,0
87,780,4,20,0,2,0
88,300,4,59,1,1,0
89,768,3,20,0,2,0
90,300,5,60,1,1,0
91,300,6,57,1,1,0
92,300,6,59,1,1,0
93,300,4,64,1,1,0
94,599,3,20,0,2,0
95,612,3,20,0,2,0
96,630,3,20,0,2,0
97,300,3,60,1,1,0
98,300,2,60,1,1,0
99,940,3,58,1,0,0
100,344,2,20,0,2,0
101,600,3,63,0,0,0
102,720,2,63,0,0,0
103,1111,5,59,1,0,0
104,553,2,58,0,0,0
105,732,3,62,0,0,0
106,697,3,66,0,0,0
107,750,2,65,0,0,0
108,696,3,58,0,0,0
109,720,2,64,0,0,0
110,420,1,63,0,0,0
111,457,2,62,0,0,0
112,648,1,66,0,0,0
113,435,2,64,0,0,0
114,408,1,65,0,0,0
115,405,1,66,0,0,0
116,552,3,62,0,0,0
117,441,1,61,0,0,0
118,405,1,68,0,0,0
119,539,1,63,0,0,0
120,721,2,60,0,0,0
121,466,2,63,0,0,0
122,565,2,64,0,0,0
123,397,4,64,0,0,0
124,440,2,64,0,0,0
125,285,1,68,0,0,0
126,300,1,66,0,0,0
127,339,1,56,0,0,0
128,360,1,64,0,0,0
129,330,1,63,0,0,0
130,300,1,61,0,0,0
131,120,-1,71,0,0,0
132,408,1,64,0,0,0
133,459,1,61,0,0,0
134,434,2,61,0,0,0
135,820,3,69,1,0,0
136,352,1,63,0,0,0
137,580,2,63,0,0,0
138,1079,5,61,1,0,0
139,420,2,58,0,0,0
140,492,5,64,0,0,0
141,540,2,61,0,0,0
142,941,6,57,1,0,0
143,794,5,62,0,0,0
144,900,4,64,1,0,0
145,731,3,63,0,0,0
146,940,4,56,1,0,0
147,941,3,61,1,0,0
148,841,4,62,1,0,0
149,860,2,62,1,0,0
150,840,4,63,1,0,0
151,871,4,61,1,0,0
152,1050,6,62,1,0,0
153,851,3,62,1,0,0
154,880,5,65,1,0,0
155,940,4,62,1,0,0
156,916,5,63,1,0,0
157,840,3,60,1,0,0
158,1009,3,62,1,0,0
159,880,3,63,1,0,0
160,670,2,63,0,0,0
161,680,2,64,0,0,0
162,924,6,61,1,0,0
163,940,4,57,1,0,0
164,1152,6,59,1,0,0
165,880,3,61,1,0,0
166,789,4,63,0,0,0
167,876,4,64,1,0,0
168,420,1,66,0,0,0
169,359,2,67,0,0,0
170,240,1,60,0,0,0
171,991,3,59,1,0,0
172,1190,6,59,1,0,0
173,1019,3,56,1,0,0
174,1021,5,58,1,0,0
175,840,3,60,1,0,0
176,671,3,61,0,0,0
177,660,2,64,0,0,0
178,969,4,59,1,0,0
179,1440,7,60,1,0,0
180,881,7,60,1,0,0
181,620,3,61,0,0,0
182,759,3,59,0,0,0
183,167,-1,64,0,0,0
184,700,2,62,0,0,0
185,780,4,59,0,0,0
186,460,1,62,0,0,0
187,540,1,60,0,0,0
188,630,1,66,0,0,0
189,383,3,62,0,0,0
190,540,1,67,0,0,0
191,651,2,64,0,0,0
192,240,1,61,0,0,0
193,253,1,66,0,0,0
194,120,1,91,0,0,1
195,120,-1,68,0,0,0
196,390,1,61,0,0,0
197,539,2,60,0,0,0
198,222,1,56,0,0,0
199,200,1,64,0,0,0
200,120,-1,58,0,0,0
201,181,-1,64,0,0,0
202,360,1,63,0,0,0
203,694,3,60,0,0,0
204,540,2,63,0,0,0
205,831,2,60,1,0,0
206,78,-1,62,0,0,0
207,120,-1,62,0,0,0
208,1211,3,60,1,0,0
209,135,1,52,0,0,0
210,300,1,66,0,0,0
211,120,-1,56,0,0,0
212,240,1,60,0,0,0
213,248,1,67,0,0,0
214,240,1,66,0,0,0
215,430,3,63,0,0,0
216,659,2,66,0,0,0
217,601,2,68,0,0,0
218,680,3,65,0,0,0
219,911,2,63,1,0,0
220,1220,4,68,1,0,0
221,1021,5,64,1,0,0
222,1050,5,64,1,0,0
223,1328,8,60,1,0,0
224,1080,5,63,1,0,0
225,210,1,59,0,0,0
226,102,-1,45,0,0,0
227,180,1,57,0,0,0
228,60,-1,62,0,0,0
229,100,-1,55,0,0,0
230,961,5,62,1,0,0
231,1160,7,57,1,0,0
232,1619,9,59,1,0,0
233,948,6,62,1,0,0
234,1040,5,60,1,0,0
235,913,3,64,1,0,0
236,1220,5,60,1,0,0
237,1211,5,58,1,0,0
238,901,4,59,1,0,0
239,1029,5,59,1,0,0
240,1360,7,58,1,0,0
241,960,5,61,1,0,0
242,1235,5,64,1,0,0
243,1215,4,59,1,0,0
244,1331,8,58,1,0,0
245,1516,8,59,1,0,0
246,1416,6,61,1,0,0
247,960,3,68,1,0,1
248,1180,7,64,1,0,0
249,994,4,60,1,0,0
250,1140,3,60,1,0,0
251,1335,4,67,1,0,1
252,1320,6,60,1,0,0
253,1455,7,59,1,0,0
254,1320,7,61,1,0,0
255,1155,3,59,1,0,0
256,1171,5,59,1,0,0
